AD Gene	AD ORF	AD Source Plate	AD Source Well	DB Gene	DB ORF	DB Source Plate	DB Source Well	Retest Result (Binary)	Retest Result (Detailed)	Experiment Name	Sorterd_Interaction_Pair
LOC_OS01G08860				LOC_OS02G12610				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G08860', 'LOC_OS02G12610')
LOC_OS01G08860	LOC_OS01G08860.1	3.0	F10	LOC_OS02G14000	LOC_OS02G14000.1	4.0	F09	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G08860', 'LOC_OS02G14000')
LOC_OS01G08860	LOC_OS01G08860.1	3.0	F10	LOC_OS02G53060	LOC_OS02G53060.1	7.0	F06	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS01G08860', 'LOC_OS02G53060')
LOC_OS01G08860				LOC_OS02G54140				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G08860', 'LOC_OS02G54140')
LOC_OS01G08860	LOC_OS01G08860.1	3.0	F10	LOC_OS03G57130	LOC_OS03G57130.1	10.0	E10	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G08860', 'LOC_OS03G57130')
LOC_OS01G08860	LOC_OS01G08860.1	3.0	F10	LOC_OS04G43750	LOC_OS04G43750.1	10.0	C12	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G08860', 'LOC_OS04G43750')
LOC_OS01G08860	LOC_OS01G08860.1	3.0	F10	LOC_OS11G29200	LOC_OS11G29200.1	19.0	F07	True	RED	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS01G08860', 'LOC_OS11G29200')
LOC_OS06G09679				LOC_OS01G15310				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G15310', 'LOC_OS06G09679')
LOC_OS01G16960	LOC_OS01G16960.1	15.0	E12	LOC_OS03G62580	LOC_OS03G62580.1	9.0	B09	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G16960', 'LOC_OS03G62580')
LOC_OS01G18860	LOC_OS01G18860.1	13.0	F05	LOC_OS01G18860	LOC_OS01G18860.1	13.0	F05	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G18860', 'LOC_OS01G18860')
LOC_OS01G18860	LOC_OS01G18860.1	13.0	F05	LOC_OS01G22010	LOC_OS01G22010.1	13.0	C07	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G18860', 'LOC_OS01G22010')
LOC_OS01G18860	LOC_OS01G18860.1	13.0	F05	LOC_OS05G04510	LOC_OS05G04510.1	13.0	B04	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G18860', 'LOC_OS05G04510')
LOC_OS01G27210				LOC_OS01G27210				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G27210', 'LOC_OS01G27210')
LOC_OS01G51450	LOC_OS01G51450.1	9.0	F08	LOC_OS01G27740	LOC_OS01G27740.1	20.0	D04	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G27740', 'LOC_OS01G51450')
LOC_OS02G58470				LOC_OS01G29409				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G29409', 'LOC_OS02G58470')
LOC_OS03G49580	LOC_OS03G49580.1	14.0	A06	LOC_OS01G29409	LOC_OS01G29409.1	17.0	C05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G29409', 'LOC_OS03G49580')
LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	LOC_OS01G29409	LOC_OS01G29409.1	17.0	C05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G29409', 'LOC_OS07G34570')
LOC_OS07G39870	LOC_OS07G39870.2	14.0	G06	LOC_OS01G29409	LOC_OS01G29409.1	17.0	C05	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G29409', 'LOC_OS07G39870')
